T t_cool t_int_cool 4PI_epsilon
1.58061701866959752882e-01 2.69078733056910941377e+06 4.40953711685316681862e+08 9.67346069635113435081e-26
1.58382216943476872295e-01 2.67446369245005818084e+06 4.38279247992866635323e+08 9.79182162223331037807e-26
1.58703381955513200818e-01 2.65824401265423558652e+06 4.35621003980212390423e+08 9.91163077025808666176e-26
1.59025198220998004173e-01 2.64212692419427353889e+06 4.32978877056018114090e+08 1.00329058604167100073e-25
1.59347667060532882655e-01 2.62609932536352146417e+06 4.30352777730654597282e+08 1.01556648295180586020e-25
1.59670789797397461030e-01 2.61017196610035048798e+06 4.27742605764554262161e+08 1.02799258338415950121e-25
1.59994567757554662091e-01 2.59434357044674130157e+06 4.25148262194107532501e+08 1.04057072518227187418e-25
1.60319002269656118997e-01 2.57860722010423801839e+06 4.22569654974003314972e+08 1.05330276867709522789e-25
1.60644094665047726389e-01 2.56297311419555265456e+06 4.20006681859807789326e+08 1.06619059696217825537e-25
1.60969846277775052723e-01 2.54742878746568271890e+06 4.17459253072342097759e+08 1.07923611617213978724e-25
1.61296258444588808123e-01 2.53197875272207381204e+06 4.14927274319620013237e+08 1.09244125576464038432e-25
1.61623332504950423250e-01 2.51662187764745624736e+06 4.12410652441972553730e+08 1.10580796880573221379e-25
1.61951069801037295104e-01 2.50135705710608512163e+06 4.09909295384866476059e+08 1.11933823225873380120e-25
1.62279471677748726721e-01 2.48618848626610683277e+06 4.07423106898600339890e+08 1.13303404727664481135e-25
1.62608539482710895419e-01 2.47110971113477507606e+06 4.04951997187465548515e+08 1.14689743949810200588e-25
1.62938274566282875755e-01 2.45612485360846389085e+06 4.02495872333857059479e+08 1.16093045934701895214e-25
1.63268678281561968602e-01 2.44122764165877131745e+06 4.00054644692198276520e+08 1.17513518233581581133e-25
1.63599751984389141235e-01 2.42642212436320073903e+06 3.97628222567835092545e+08 1.18951370937243573355e-25
1.63931497033354828252e-01 2.41170716864823969081e+06 3.95216515399186849594e+08 1.20406816707105074411e-25
1.64263914789804343908e-01 2.39708166864566691220e+06 3.92819433730541169643e+08 1.21880070806661255228e-25
1.64597006617843516496e-01 2.38254454504222748801e+06 3.90436889185498952866e+08 1.23371351133324575734e-25
1.64930773884344322733e-01 2.36809474444141099229e+06 3.88068794441057562828e+08 1.24880878250651513500e-25
1.65265217958950494381e-01 2.35373123873842461035e+06 3.85715063202319145203e+08 1.26408875420967537006e-25
1.65600340214082930590e-01 2.33945769438184192404e+06 3.83375605507937312126e+08 1.27955568638384882289e-25
1.65936142024945693096e-01 2.32526834925901051611e+06 3.81050337158678293228e+08 1.29521186662233359734e-25
1.66272624769531363054e-01 2.31116680722952447832e+06 3.78739170351448774338e+08 1.31105961050890323843e-25
1.66609789828626814190e-01 2.29714746953884232789e+06 3.76442022881909906864e+08 1.32710126196033269970e-25
1.66947638585818930457e-01 2.28321832588890939951e+06 3.74158804556020975113e+08 1.34333919357305507101e-25
1.67286172427500073878e-01 2.26936938008528063074e+06 3.71889435175935685635e+08 1.35977580697409416720e-25
1.67625392742874051999e-01 2.25560845491733448580e+06 3.69633826721018373966e+08 1.37641353317626838557e-25
1.67965300923961502466e-01 2.24192581886532763019e+06 3.67391900902153074741e+08 1.39325483293775858618e-25
1.68305898365605999256e-01 2.22832913062453921884e+06 3.65163571771528542042e+08 1.41030219712607144859e-25
1.68647186465479409501e-01 2.21481728726772824302e+06 3.62948754484260797501e+08 1.42755814708644100850e-25
1.68989166624087805424e-01 2.20138094209973467514e+06 3.60747373542161047459e+08 1.44502523501476709757e-25
1.69331840244777237503e-01 2.18803159987755166367e+06 3.58559341942283511162e+08 1.46270604433508540568e-25
1.69675208733739313338e-01 2.17476001196934981272e+06 3.56384581930314183235e+08 1.48060319008167271038e-25
1.70019273500017248368e-01 2.16157329621216515079e+06 3.54223008634102046490e+08 1.49871931928584352262e-25
1.70364035955511416986e-01 2.14846245028607593849e+06 3.52074546183815956116e+08 1.51705711136743723041e-25
1.70709497514985208966e-01 2.13543444448674097657e+06 3.49939111739329218864e+08 1.53561927853113096827e-25
1.71055659596070913642e-01 2.12248051574620977044e+06 3.47816631223582983017e+08 1.55440856616760851811e-25
1.71402523619275354294e-01 2.10960748924334300682e+06 3.45707023734339654446e+08 1.57342775325957858346e-25
