T t_cool t_int_cool 4PI_epsilon
1.21959846066855975844e-01 1.18772817255915865302e+08 1.95329241392699966431e+10 4.36191460946888831762e-34
1.22207154358063882493e-01 1.18055084419210702181e+08 1.94148690548507843018e+10 4.41519290518864282548e-34
1.22454964137203026198e-01 1.17341434356448084116e+08 1.92975276204943351746e+10 4.46912196251796056031e-34
1.22703276421182949640e-01 1.16632396512656703591e+08 1.91808952239816780090e+10 4.52370973010481051497e-34
1.22952092228975115584e-01 1.15927908234604120255e+08 1.90649673157470741272e+10 4.57896425368544069999e-34
1.23201412581617361641e-01 1.15227349698392897844e+08 1.89497399660486793518e+10 4.63489367727038263087e-34
1.23451238502217994220e-01 1.14530681454869031906e+08 1.88352092845938110352e+10 4.69150624434476216257e-34
1.23701571015959813082e-01 1.13838410280324772000e+08 1.87213708743134880066e+10 4.74881029908336313005e-34
1.23952411150104649384e-01 1.13150478860621303320e+08 1.86082203954528656006e+10 4.80681428758049853281e-34
1.24203759933997237574e-01 1.12466831259600847960e+08 1.84957535641932640076e+10 4.86552675909496295475e-34
1.24455618399069697921e-01 1.11787412886782899499e+08 1.83839661513064804077e+10 4.92495636731006878512e-34
1.24707987578845699850e-01 1.11111651035964250565e+08 1.82728545002705154419e+10 4.98511187160926316096e-34
1.24960868508944555888e-01 1.10440025677935257554e+08 1.81624144745925788879e+10 5.04600213836708101967e-34
1.25214262227085704193e-01 1.09772992812272906303e+08 1.80526414817803077698e+10 5.10763614225614500314e-34
1.25468169773092830255e-01 1.09109482639304324985e+08 1.79435319991410026550e+10 5.17002296756985898118e-34
1.25722592188898057985e-01 1.08449959771673828363e+08 1.78350820393693275452e+10 5.23317180956143751261e-34
1.25977530518546543270e-01 1.07794865665004551411e+08 1.77272871737043228149e+10 5.29709197579931144286e-34
1.26232985808200248723e-01 1.07143170504837930202e+08 1.76201440031994857788e+10 5.36179288753886259705e-34
1.26488959106142800914e-01 1.06495801078189611435e+08 1.75136482021212959290e+10 5.42728408111120344208e-34
1.26745451462783376151e-01 1.05852224713732570410e+08 1.74077959774075622559e+10 5.49357520932873059236e-34
1.27002463930661113611e-01 1.05212398631947353482e+08 1.73025835787756156921e+10 5.56067604290789092029e-34
1.27259997564449667262e-01 1.04576741128623798490e+08 1.71980068376469917297e+10 5.62859647190938435607e-34
1.27518053420961091637e-01 1.03944740308516785502e+08 1.70940620973384742737e+10 5.69734650719582989065e-34
1.27776632559150615798e-01 1.03316356605584457517e+08 1.69907457407328891754e+10 5.76693628190742420306e-34
1.28035736040120778911e-01 1.02691994997577100992e+08 1.68880537457353115082e+10 5.83737605295548001458e-34
1.28295364927125704613e-01 1.02071601739955693483e+08 1.67859821439953556061e+10 5.90867620253413411118e-34
1.28555520285575652917e-01 1.01454691430049270391e+08 1.66845274525653057098e+10 5.98084723965083143117e-34
1.28816203183041266822e-01 1.00841656278209939599e+08 1.65836857962870960236e+10 6.05389980167516869440e-34
1.29077414689258013203e-01 1.00232023573353663087e+08 1.64834537727137432098e+10 6.12784465590682884132e-34
1.29339155876130623701e-01 9.96261771393471360207e+07 1.63838275955743961334e+10 6.20269270116265246747e-34
1.29601427817737230308e-01 9.90240690299454629421e+07 1.62848035265444507599e+10 6.27845496938303270530e-34
1.29864231590334139321e-01 9.84256524519364684820e+07 1.61863778740925140381e+10 6.35514262725804323477e-34
1.30127568272360050194e-01 9.78308817374826669693e+07 1.60885469923550319672e+10 6.43276697787327975117e-34
1.30391438944440385406e-01 9.72397123172911256552e+07 1.59913072800377407074e+10 6.51133946237593404795e-34
1.30655844689391981150e-01 9.66521006944366544485e+07 1.58946551793433036804e+10 6.59087166166118453253e-34
1.30920786592227333944e-01 9.60680044184405356646e+07 1.57985871749248638153e+10 6.67137529807910416691e-34
1.31186265740159097026e-01 9.54873820601469129324e+07 1.57030997928647174835e+10 6.75286223716259045114e-34
1.31452283222604632273e-01 9.49101931870601475239e+07 1.56081895996776580811e+10 6.83534448937619942025e-34
1.31718840131190229048e-01 9.43367725948030799627e+07 1.55138528270828552246e+10 6.91883421188640879964e-34
1.31985937559755989179e-01 9.37666984841838032007e+07 1.54200861285986709595e+10 7.00334371035377388295e-34
1.32253576604359934787e-01 9.31999334330891817808e+07 1.53268861951655826569e+10 7.08888544074638769689e-34
1.32521758363282698978e-01 9.26368017899854481220e+07 1.52342493933755970001e+10 7.17547201117611397654e-34
1.32790483937031994488e-01 9.20768983321134895086e+07 1.51421724950434837341e+10 7.26311618375683516908e-34
1.33059754428347110089e-01 9.15205406437406688929e+07 1.50506519543997421265e+10 7.35183087648562121236e-34
1.33329570942203462502e-01 9.09673342148859649897e+07 1.49596846201848564148e+10 7.44162916514669592742e-34
1.33599934585817176069e-01 9.04175899797383397818e+07 1.48692670302051181793e+10 7.53252428523884077769e-34
1.33870846468649440375e-01 8.98709238367453217506e+07 1.47793961063683719635e+10 7.62452963392623599518e-34
1.34142307702411339720e-01 8.93279757010848671198e+07 1.46900681306672878265e+10 7.71765877201314875478e-34
1.34414319401068155235e-01 8.87880279689865559340e+07 1.46012801026983013153e+10 7.81192542594272241637e-34
1.34686882680844083326e-01 8.82513787591511905193e+07 1.45130287239391498566e+10 7.90734348982024914693e-34
1.34959998660226843104e-01 8.77183110898138731718e+07 1.44253104128493366241e+10 8.00392702746108158449e-34
1.35233668459972117271e-01 8.71881344956092685461e+07 1.43381222783537273407e+10 8.10169027446358552782e-34
1.35507893203108326086e-01 8.66611378703157007694e+07 1.42514611404834117889e+10 8.20064764030744412000e-34
1.35782674014941040497e-01 8.61372835659224092960e+07 1.41653238569174900055e+10 8.30081371047758978305e-34
1.36058012023057811613e-01 8.56168430224858820438e+07 1.40797070138950042725e+10 8.40220324861390245962e-34
1.36333908357332611594e-01 8.50994647603950053453e+07 1.39946075491346092224e+10 8.50483119868754997332e-34
1.36610364149930663125e-01 8.45851139170491695404e+07 1.39100224352175598145e+10 8.60871268720352233846e-34
1.36887380535312852547e-01 8.40737564685801863670e+07 1.38259486787489795685e+10 8.71386302543022214628e-34
1.37164958650240614846e-01 8.35656527838523834944e+07 1.37423830259651279449e+10 8.82029771165645656255e-34
1.37443099633780374536e-01 8.30607598277930468321e+07 1.36593222661373348236e+10 8.92803243347556921960e-34
1.37721804627308430646e-01 8.25587490684476345778e+07 1.35767635170688877106e+10 9.03708307009801032474e-34
1.38001074774515591903e-01 8.20598729636605679989e+07 1.34947036441052265167e+10 9.14746569469172746979e-34
1.38280911221411645373e-01 8.15638117271158546209e+07 1.34131398323781108856e+10 9.25919657675130427003e-34
1.38561315116330435737e-01 8.10708126043848842382e+07 1.33320690197737255096e+10 9.37229218449614447192e-34
1.38842287609934222914e-01 8.05811102033954113722e+07 1.32514879095703296661e+10 9.48676918729768100260e-34
1.39123829855218678064e-01 8.00941179105372428894e+07 1.31713937916597919464e+10 9.60264445813650629960e-34
1.39405943007517463261e-01 7.96098090868609696627e+07 1.30917839825729312897e+10 9.71993507608935207684e-34
1.39688628224506949937e-01 7.91286841096500754356e+07 1.30126552984632816315e+10 9.83865832884649498875e-34
1.39971886666211159378e-01 7.86506985501974672079e+07 1.29340045999130840302e+10 9.95883171525998333420e-34
1.40255719495006231368e-01 7.81752952998360544443e+07 1.28558293046132488251e+10 1.00804729479227326960e-33
1.40540127875625447951e-01 7.77027044147372692823e+07 1.27781266001985111237e+10 1.02035999557795322527e-33
1.40825112975163951878e-01 7.72331442722939401865e+07 1.27008934559262180328e+10 1.03282308867695939910e-33
1.41110675963083409545e-01 7.67663265521173775196e+07 1.26241271293740997314e+10 1.04543841105015428661e-33
1.41396818011216979238e-01 7.63024652626523971558e+07 1.25478246641114482880e+10 1.05820782209610258110e-33
1.41683540293773974073e-01 7.58412798488109260798e+07 1.24719833842626380920e+10 1.07113320392513706575e-33
1.41970843987344802484e-01 7.53829800139963030815e+07 1.23966004042486419678e+10 1.08421646163679706428e-33
1.42258730270905769943e-01 7.49272927420195192099e+07 1.23216731115066223145e+10 1.09745952360060472586e-33
1.42547200325823852918e-01 7.44746565940548330545e+07 1.22471984549125671387e+10 1.11086434174032539766e-33
1.42836255335861556093e-01 7.40245671486276686192e+07 1.21731738877639389038e+10 1.12443289182166401827e-33
1.43125896487181825112e-01 7.35769982850347012281e+07 1.20995968894789047241e+10 1.13816717374349075793e-33
1.43416124968352931557e-01 7.31323740349320471287e+07 1.20264645154439735413e+10 1.15206921183262002452e-33
1.43706941970353219151e-01 7.26904311956240534782e+07 1.19537740842483501434e+10 1.16614105514220886351e-33
